DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
211805324,01/27/2021 12:00:00 AM,10/14/2020 12:00:00 AM,1,18,Southeast,1862,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0500,0,X,X,726.0,POLICE FACILITY,,,AO,Adult Other,845.0,,,,100 E  119TH                        ST,,33.9247,-118.2739
231907168,03/21/2023 12:00:00 AM,03/19/2023 12:00:00 AM,2300,19,Mission,1989,1,330,BURGLARY FROM VEHICLE,1609 0344 1307,23,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,CHASE                        ST,COSTELLO                     AV,34.2246,-118.4153
211422733,12/10/2021 12:00:00 AM,12/10/2021 12:00:00 AM,1415,14,Pacific,1445,2,624,BATTERY - SIMPLE ASSAULT,0416,28,F,O,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3900    MEIER                        ST,,33.9965,-118.4368
201715704,11/21/2020 12:00:00 AM,11/21/2020 12:00:00 AM,2345,17,Devonshire,1737,2,624,BATTERY - SIMPLE ASSAULT,0401 0913 1817 1300,28,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,11300    MCLENNAN                     AV,,34.2756,-118.5011
231221950,10/25/2023 12:00:00 AM,10/25/2023 12:00:00 AM,1650,12,77th Street,1245,1,210,ROBBERY,2049 2051 1822 0344,26,F,H,801.0,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,69TH                         ST,VERMONT                      AV,33.977,-118.2918
211407630,03/04/2021 12:00:00 AM,03/04/2021 12:00:00 AM,1540,14,Pacific,1412,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0431 1218,41,F,W,101.0,STREET,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,700    SPEEDWAY,,33.9919,-118.4773
200808804,04/27/2020 12:00:00 AM,04/27/2020 12:00:00 AM,1330,8,West LA,835,2,625,OTHER ASSAULT,1236 0356 2004,49,M,A,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625.0,,,,11000 W  OLYMPIC                      BL,,34.0462,-118.4361
200904495,01/13/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1829,9,Van Nuys,901,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1243 0419 0444,43,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,7500    ZOMBAR                       AV,,34.2066,-118.4673
231611414,08/22/2023 12:00:00 AM,08/21/2023 12:00:00 AM,2230,16,Foothill,1617,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,8900    FOOTHILL                     BL,,34.2724,-118.3243
230314333,07/31/2023 12:00:00 AM,07/29/2023 12:00:00 AM,2200,3,Southwest,332,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3000    WEST                         BL,,34.0276,-118.3417
222004606,01/16/2022 12:00:00 AM,01/16/2022 12:00:00 AM,1845,20,Olympic,2005,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 1822 1309,26,F,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,,,,KINGSLEY                     DR,CLINTON                      AV,34.0817,-118.3034
210306861,03/01/2021 12:00:00 AM,02/28/2021 12:00:00 AM,1000,3,Southwest,334,1,310,BURGLARY,1822 1609 0342 0329 1402,20,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,3200 W  JEFFERSON                    BL,,34.0256,-118.3317
231415483,08/08/2023 12:00:00 AM,08/07/2023 12:00:00 AM,1800,14,Pacific,1469,2,354,THEFT OF IDENTITY,,46,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,5400    ALVERN CIR,,33.975,-118.3744
220100576,03/10/2022 12:00:00 AM,03/10/2022 12:00:00 AM,1540,1,Central,146,1,761,BRANDISH WEAPON,1402 0913 0334 0421,49,F,B,101.0,STREET,207.0,OTHER KNIFE,AO,Adult Other,761.0,998.0,,,200 E  5TH                          ST,,34.0461,-118.2461
200813465,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,600,8,West LA,817,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0554 0913,22,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,,,,900    HILGARD                      AV,,34.0617,-118.4446
210515609,11/03/2021 12:00:00 AM,11/02/2021 12:00:00 AM,2307,5,Harbor,504,1,310,BURGLARY,1822,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,1600 W  190TH                        ST,,33.8584,-118.3068
210904351,01/11/2021 12:00:00 AM,01/09/2021 12:00:00 AM,1700,9,Van Nuys,943,1,330,BURGLARY FROM VEHICLE,0358 1420 0344 1307,50,F,A,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,5400    SYLMAR                       AV,,34.1688,-118.4466
211112115,08/19/2021 12:00:00 AM,08/19/2021 12:00:00 AM,1715,11,Northeast,1113,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416,29,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,EL DORADO                    BL,COLORADO                     BL,34.1361,-118.2237
200217292,11/11/2020 12:00:00 AM,11/11/2020 12:00:00 AM,1500,2,Rampart,295,2,624,BATTERY - SIMPLE ASSAULT,0416 1810 0913,28,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1300 S  BURLINGTON                   AV,,34.0451,-118.2792
230915705,10/26/2023 12:00:00 AM,10/26/2023 12:00:00 AM,1325,9,Van Nuys,919,2,625,OTHER ASSAULT,0356 0903 2055 1514,38,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625.0,,,,13600    SHERMAN                      WY,,34.2012,-118.4294
230215639,08/12/2023 12:00:00 AM,08/12/2023 12:00:00 AM,1200,2,Rampart,265,1,761,BRANDISH WEAPON,1501 0416 0446 0400 0913 0361,53,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,434.0,761.0,,,700 S  ALVARADO                     ST,,34.0565,-118.2768
220210642,05/21/2022 12:00:00 AM,05/21/2022 12:00:00 AM,400,2,Rampart,211,2,624,BATTERY - SIMPLE ASSAULT,2001 2002 1206 0913 0408 1817,41,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500 N  NORMANDIE                    AV,,34.0794,-118.3004
200405718,02/14/2020 12:00:00 AM,02/14/2020 12:00:00 AM,645,4,Hollenbeck,499,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,CALADA,OLYMPIC                      BL,34.0188,-118.1979
230206608,02/24/2023 12:00:00 AM,02/22/2022 12:00:00 AM,1950,2,Rampart,205,1,761,BRANDISH WEAPON,0334 0302 0421 1501 2004,39,M,H,101.0,STREET,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,761.0,,,,SILVERLAKE                   BL,BELLEVUE                     AV,34.0804,-118.275
230412144,09/06/2023 12:00:00 AM,09/01/2023 12:00:00 AM,1900,4,Hollenbeck,455,1,210,ROBBERY,1402 0400 0429 0411 0903 2058 1539 0344,49,M,H,128.0,BUS STOP/LAYOVER (ALSO QUERY 124),200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210.0,998.0,,,CESAR E CHAVEZ               AV,ST LOUIS                     ST,34.0485,-118.2115
230907015,03/17/2023 12:00:00 AM,03/15/2023 12:00:00 AM,1800,9,Van Nuys,943,2,624,BATTERY - SIMPLE ASSAULT,0448 0446 0417,64,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,VAN NUYS                     BL,BURBANK                      BL,34.1721,-118.4487
230215377,08/13/2023 12:00:00 AM,08/12/2023 12:00:00 AM,2300,2,Rampart,239,1,330,BURGLARY FROM VEHICLE,0344 0329 1609 1307 0321 1601 1822,39,M,B,102.0,SIDEWALK,,,IC,Invest Cont,330.0,,,,EMERALD,2ND                          ST,34.0609,-118.2535
211800536,01/25/2021 12:00:00 AM,01/25/2021 12:00:00 AM,2055,18,Southeast,1842,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2004 0445 0411 1402,33,F,H,101.0,STREET,215.0,MACHETE,AO,Adult Other,230.0,998.0,,,MAIN                         ST,112TH                        ST,33.933,-118.2739
231111504,07/24/2023 12:00:00 AM,07/24/2023 12:00:00 AM,1940,11,Northeast,1101,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1609,0,X,X,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
231711224,06/12/2023 12:00:00 AM,06/12/2023 12:00:00 AM,1500,17,Devonshire,1781,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0400 0913 1310 1300,26,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,20900    PARTHENIA                    ST,,34.2332,-118.5829
210412736,09/10/2021 12:00:00 AM,09/10/2021 12:00:00 AM,2300,4,Hollenbeck,466,2,624,BATTERY - SIMPLE ASSAULT,0444 0416 0913,42,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,100 N  SOTO                         ST,,34.0438,-118.2098
220511001,07/06/2022 12:00:00 AM,07/03/2022 12:00:00 AM,1500,5,Harbor,566,1,310,BURGLARY,0375 0344 1605,0,X,X,218.0,BEAUTY/BARBER SHOP,,,IC,Invest Cont,310.0,,,,300 W  7TH                          ST,,33.7347,-118.2842
230300609,04/07/2023 12:00:00 AM,04/06/2023 12:00:00 AM,1600,3,Southwest,337,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 0344 1402 1822,70,M,H,118.0,CONSTRUCTION SITE,,,IC,Invest Cont,341.0,,,,2900    HALLDALE                     AV,,34.0291,-118.3028
200121151,11/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM,1900,1,Central,176,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",1609 1307 1822 0329 0321,33,M,O,101.0,STREET,,,IC,Invest Cont,410.0,,,,700    SAN JULIAN                   ST,,34.0394,-118.2496
221106054,02/25/2022 12:00:00 AM,02/25/2022 12:00:00 AM,624,11,Northeast,1127,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,248.0,CELL PHONE STORE,,,IC,Invest Cont,740.0,,,,6400 N  FIGUEROA                     ST,,34.12,-118.1893
201226791,12/20/2020 12:00:00 AM,12/19/2020 12:00:00 AM,1815,12,77th Street,1233,2,624,BATTERY - SIMPLE ASSAULT,0913 0416,38,F,B,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1800 W  SLAUSON                      AV,,33.9891,-118.3097
220404681,01/22/2022 12:00:00 AM,01/22/2022 12:00:00 AM,130,4,Hollenbeck,459,2,901,VIOLATION OF RESTRAINING ORDER,2038,44,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,901.0,,,,3100    FAIRMOUNT                    ST,,34.0482,-118.1952
230510412,06/26/2023 12:00:00 AM,06/26/2023 12:00:00 AM,1855,5,Harbor,555,2,946,OTHER MISCELLANEOUS CRIME,0603,27,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,946.0,,,,500 W  UPLAND                       AV,,33.7493,-118.2876
200704530,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2000,7,Wilshire,778,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1700    6TH                          AV,,34.0418,-118.3269
230307323,03/05/2023 12:00:00 AM,03/04/2023 12:00:00 AM,1200,3,Southwest,357,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1100 W  37TH                         ST,,34.021,-118.2921
201612460,09/01/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1645,16,Foothill,1623,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 0360,41,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,GLENOAKS,PIERCE,34.2713,-118.4091
221223067,11/02/2022 12:00:00 AM,10/31/2022 12:00:00 AM,729,12,77th Street,1239,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,0,X,X,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,800 W  SLAUSON                      AV,,33.9891,-118.2871
220608888,04/17/2022 12:00:00 AM,04/16/2022 12:00:00 AM,1735,6,Hollywood,645,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0429 2004 0913,28,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7000 W  SUNSET                       BL,,34.098,-118.3416
201412690,06/22/2020 12:00:00 AM,06/18/2020 12:00:00 AM,200,14,Pacific,1424,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,26,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331.0,,,,11800    NATIONAL                     BL,,34.0216,-118.4409
200809092,05/05/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1600,8,West LA,889,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0913 1817,20,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,2000 S  SHENANDOAH                   ST,,34.0404,-118.3852
200716658,11/20/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1,7,Wilshire,724,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0908 0913 1820 0500,14,F,B,101.0,STREET,,,IC,Invest Cont,822.0,,,,100    THE GROVE                    DR,,34.0747,-118.3563
220809655,05/17/2022 12:00:00 AM,05/17/2022 12:00:00 AM,800,8,West LA,833,2,901,VIOLATION OF RESTRAINING ORDER,0554 2038,52,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901.0,,,,1300    MIDVALE                      AV,,34.0566,-118.4445
200416178,12/22/2020 12:00:00 AM,12/22/2020 12:00:00 AM,830,4,Hollenbeck,443,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,42,M,W,108.0,PARKING LOT,,,IC,Invest Cont,341.0,,,,1600    SAN PABLO                    ST,,34.064,-118.2026
210514592,10/06/2021 12:00:00 AM,10/06/2021 12:00:00 AM,1710,5,Harbor,503,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1813 0913,32,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1000    HARBOR VILLAGE               DR,,33.7924,-118.2938
211215779,07/15/2021 12:00:00 AM,07/15/2021 12:00:00 AM,900,12,77th Street,1232,1,350,"THEFT, PERSON",1817 0354 0448,40,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,350.0,,,,2400 W  SLAUSON                      AV,,33.9891,-118.3198
221705433,02/08/2022 12:00:00 AM,02/07/2022 12:00:00 AM,1700,17,Devonshire,1701,1,310,BURGLARY,1501 0344,0,X,X,108.0,PARKING LOT,,,IC,Invest Cont,310.0,,,,19700    RINALDI                      ST,,34.2749,-118.5621
221321883,12/03/2022 12:00:00 AM,12/03/2022 12:00:00 AM,520,13,Newton,1313,1,310,BURGLARY,0397 0344 0329 1602,0,F,H,217.0,AUTO REPAIR SHOP,,,IC,Invest Cont,310.0,,,,700 E  WASHINGTON                   BL,,34.0276,-118.2574
231412341,06/15/2023 12:00:00 AM,06/14/2023 12:00:00 AM,2130,14,Pacific,1467,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6000 W  CENTER                       DR,,33.9758,-118.3886
221009279,05/16/2022 12:00:00 AM,03/25/2022 12:00:00 AM,1505,10,West Valley,1015,2,354,THEFT OF IDENTITY,1822 0930 0928,53,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7500    HESPERIA                     AV,,34.2066,-118.5263
230805426,02/04/2023 12:00:00 AM,02/03/2023 12:00:00 AM,1500,8,West LA,806,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10800    VICENZA                      WY,,34.0989,-118.4573
231506347,02/25/2023 12:00:00 AM,02/25/2023 12:00:00 AM,2130,15,N Hollywood,1596,1,310,BURGLARY,1601 1202 0314,74,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,11400    DONA PEGITA                  DR,,34.131,-118.379
211410458,04/25/2021 12:00:00 AM,04/25/2021 12:00:00 AM,2015,14,Pacific,1432,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0919 1309 1310 0431 1822,66,M,W,101.0,STREET,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,LINCOLN                      BL,VENICE                       BL,33.9941,-118.4528
211813776,07/18/2021 12:00:00 AM,07/18/2021 12:00:00 AM,950,18,Southeast,1824,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416 0448 0408,42,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,10300    PALOMA                       AV,,33.9419,-118.2638
220211086,05/30/2022 12:00:00 AM,05/30/2022 12:00:00 AM,1900,2,Rampart,275,1,210,ROBBERY,0377 1822 0342 0429 0417 1307 0329,39,M,H,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,900 S  BONNIE BRAE                  ST,,34.0524,-118.2766
230808587,04/21/2023 12:00:00 AM,04/20/2023 12:00:00 AM,1906,8,West LA,882,1,330,BURGLARY FROM VEHICLE,1822 0344 1302 1307 0358 1609 0352,20,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,,,,11300 W  OLYMPIC                      BL,,34.0382,-118.4412
220610585,05/20/2022 12:00:00 AM,05/18/2022 12:00:00 AM,610,6,Hollywood,645,1,480,BIKE - STOLEN,1822 0344,41,M,O,102.0,SIDEWALK,,,IC,Invest Cont,480.0,,,,1700 N  HIGHLAND                     AV,,34.1006,-118.3417
200615082,09/07/2020 12:00:00 AM,09/07/2020 12:00:00 AM,1340,6,Hollywood,645,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822,25,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,1700 N  SYCAMORE                     AV,,34.1015,-118.3434
230412310,09/11/2023 12:00:00 AM,09/09/2023 12:00:00 AM,1400,4,Hollenbeck,491,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,48,F,W,213.0,WAREHOUSE,,,IC,Invest Cont,740.0,,,,2500 E  OLYMPIC                      BL,,34.0254,-118.2239
201107040,03/08/2020 12:00:00 AM,03/07/2020 12:00:00 AM,2330,11,Northeast,1142,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,21,F,W,104.0,DRIVEWAY,,,AO,Adult Other,740.0,,,,4500    AMBROSE                      AV,,34.11,-118.2882
200104333,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,145,1,Central,119,2,888,TRESPASSING,0910 0329 2004,0,X,X,834.0,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888.0,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
211313260,07/24/2021 12:00:00 AM,07/24/2021 12:00:00 AM,1750,13,Newton,1307,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,39,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,STANFORD                     AV,AGATHA                       ST,34.0379,-118.2456
222015626,10/10/2022 12:00:00 AM,10/10/2022 12:00:00 AM,200,20,Olympic,2002,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,WILTON                       PL,RALEIGH,34.0826,-118.3135
220806036,02/19/2022 12:00:00 AM,02/19/2022 12:00:00 AM,700,8,West LA,898,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,3100 S  DURANGO                      AV,,34.0328,-118.3928
220119866,09/06/2022 12:00:00 AM,09/06/2022 12:00:00 AM,910,1,Central,132,2,624,BATTERY - SIMPLE ASSAULT,0444 0447 0416 0417 0429 1218,23,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,N  2ND                          ST,FIGUEROA                     ST,34.0566,-118.2531
200907711,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,610,9,Van Nuys,932,2,624,BATTERY - SIMPLE ASSAULT,0416,52,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,15100    VICTORY                      BL,,34.1867,-118.4618
231206122,02/05/2023 12:00:00 AM,02/04/2023 12:00:00 AM,2130,12,77th Street,1255,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1100 0329 1822 1402 1407 1300,27,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,DALTON                       AV,FLORENCE                     AV,33.9746,-118.3035
210116944,09/16/2021 12:00:00 AM,08/15/2021 12:00:00 AM,1215,1,Central,162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,60,F,W,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,440.0,,,,700 W  7TH                          ST,,34.048,-118.2577
230106786,02/11/2023 12:00:00 AM,02/11/2023 12:00:00 AM,945,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0411 1822 2004,37,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,230.0,,,,800 E  7TH                          ST,,34.0416,-118.244
220718375,12/29/2022 12:00:00 AM,09/24/2022 12:00:00 AM,2245,7,Wilshire,733,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,29,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,600    MASSELIN                     AV,,34.0649,-118.3525
231014899,10/18/2023 12:00:00 AM,10/18/2023 12:00:00 AM,2000,10,West Valley,1031,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0325 1420,0,M,W,402.0,MARKET,,,IC,Invest Cont,341.0,,,,19300    VICTORY                      BL,,34.1866,-118.5535
231308267,03/26/2023 12:00:00 AM,03/26/2023 12:00:00 AM,1032,13,Newton,1351,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1822,23,F,H,405.0,CLOTHING STORE,,,IC,Invest Cont,442.0,,,,4000 S  MAIN                         ST,,34.0075,-118.2775
220512417,08/11/2022 12:00:00 AM,08/11/2022 12:00:00 AM,1745,5,Harbor,528,2,900,VIOLATION OF COURT ORDER,2038 1813,46,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,900.0,,,,1000    MCFARLAND                    AV,,33.7833,-118.2528
200321509,12/10/2020 12:00:00 AM,12/10/2020 12:00:00 AM,530,3,Southwest,311,1,330,BURGLARY FROM VEHICLE,1307 0329 1822 0202 1609,33,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,5600 W  JEFFERSON                    BL,,34.0261,-118.366
221204788,01/15/2022 12:00:00 AM,01/14/2022 12:00:00 AM,1245,12,77th Street,1218,1,350,"THEFT, PERSON",0216 0342 0344 0346 1238 1822 2049 2051 0910,23,M,O,801.0,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350.0,,,,VERMONT,SLAUSON,33.9891,-118.2915
210910756,06/21/2021 12:00:00 AM,11/29/2020 12:00:00 AM,915,9,Van Nuys,981,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822 1501 1414,43,M,O,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,440.0,,,,14900    VENTURA                      BL,,34.1524,-118.4574
210404961,01/26/2021 12:00:00 AM,01/25/2021 12:00:00 AM,1240,4,Hollenbeck,455,2,354,THEFT OF IDENTITY,0100,44,M,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,354.0,,,,1900    BAILEY                       ST,,34.0526,-118.2131
231604726,01/23/2023 12:00:00 AM,09/01/2022 12:00:00 AM,1025,16,Foothill,1693,2,354,THEFT OF IDENTITY,0377,36,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7700    LAUREL CANYON                BL,,34.2121,-118.4021
221713416,09/12/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1800,17,Devonshire,1753,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0553 1258 1251 0913,6,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308.0,STICK,AO,Adult Other,627.0,,,,10200    MASON                        AV,,34.2551,-118.5798
211916680,12/14/2021 12:00:00 AM,12/13/2021 12:00:00 AM,1820,19,Mission,1985,2,901,VIOLATION OF RESTRAINING ORDER,2038,53,M,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901.0,,,,8300    TYRONE                       AV,,34.2226,-118.4442
